date,product_name,category,quantity,price,stock,temperature,trend_score,day_of_week
2023-01-01,Bed Frame,Furniture,1,450,18,8.9,31.1,6
2023-01-01,Green Tea 50pk,Food,26,8,590,3.7,67.9,6
2023-01-01,Python Crash Course,Books,5,30,93,22.4,50.8,6
2023-01-02,Bed Frame,Furniture,1,450,28,10.2,61.4,0
2023-01-02,The Lean Startup,Books,6,22,102,35.8,51.5,0
2023-01-03,H&M T-Shirt,Clothing,9,25,317,26.2,76.1,1
2023-01-03,Zara Jacket,Clothing,6,110,108,31.9,38.0,1
2023-01-03,Samsung 4K TV,Electronics,1,799,29,31.9,30.7,1
2023-01-05,The Lean Startup,Books,4,22,136,4.2,45.3,3
2023-01-06,H&M T-Shirt,Clothing,7,25,307,14.1,71.9,4
2023-01-06,Coffee Table,Furniture,1,220,22,20.7,59.5,4
2023-01-07,Olive Oil 1L,Food,23,12,351,9.3,64.1,5
2023-01-07,H&M T-Shirt,Clothing,7,25,297,37.3,41.8,5
2023-01-09,Atomic Habits,Books,3,18,138,30.1,46.5,0
2023-01-10,Levi's Jeans,Clothing,5,60,219,16.7,50.5,1
2023-01-10,IKEA Desk,Furniture,1,250,51,0.9,74.8,1
2023-01-10,H&M T-Shirt,Clothing,6,25,313,13.1,35.6,1
2023-01-10,Hot Wheels 10pk,Toys,3,15,201,1.0,65.6,1
2023-01-10,Nike Air Max,Clothing,7,120,164,13.1,37.4,1
2023-01-12,Bookshelf,Furniture,1,180,17,32.6,37.8,3
2023-01-13,The Lean Startup,Books,4,22,136,32.3,58.9,4
2023-01-13,Almond Milk 1L,Food,17,4,430,16.4,57.4,4
2023-01-14,Puzzle 1000pc,Toys,4,25,95,34.6,66.1,5
2023-01-15,Organic Coffee 1kg,Food,18,18,493,24.8,36.1,6
2023-01-16,Deep Work,Books,5,20,145,25.3,80.6,0
2023-01-17,Protein Bars 12pk,Food,10,25,420,28.9,49.0,1
2023-01-17,Sony Headphones,Electronics,2,349,69,35.0,38.7,1
2023-01-21,Organic Coffee 1kg,Food,23,18,501,6.2,35.8,5
2023-01-24,iPad Pro,Electronics,2,899,30,26.3,66.4,1
2023-01-27,Python Crash Course,Books,3,30,108,37.4,63.9,4
2023-01-28,Bed Frame,Furniture,1,450,31,15.4,83.2,5
2023-01-28,Deep Work,Books,4,20,114,14.8,69.0,5
2023-01-30,Nike Air Max,Clothing,7,120,151,6.8,71.9,0
2023-01-30,Nike Air Max,Clothing,6,120,133,3.3,75.8,0
2023-01-30,Samsung 4K TV,Electronics,1,799,40,23.5,77.3,0
2023-01-31,Clean Code,Books,4,35,104,6.8,84.6,1
2023-01-31,Bookshelf,Furniture,1,180,23,35.8,42.4,1
2023-02-01,Adidas Hoodie,Clothing,6,80,167,3.6,31.1,2
2023-02-01,MacBook Air,Electronics,1,1299,36,27.1,41.8,2
2023-02-01,Olive Oil 1L,Food,15,12,336,31.7,60.6,2
2023-02-02,LEGO Technic Set,Toys,4,89,55,23.4,63.8,3
2023-02-03,The Lean Startup,Books,4,22,115,10.9,54.4,4
2023-02-03,Almond Milk 1L,Food,14,4,435,6.3,77.4,4
2023-02-03,Office Chair,Furniture,1,350,12,9.9,77.3,4
2023-02-05,Bed Frame,Furniture,1,450,30,21.6,43.5,6
2023-02-05,Office Chair,Furniture,1,350,14,19.6,58.4,6
2023-02-08,Atomic Habits,Books,5,18,140,9.5,72.1,2
2023-02-08,iPhone 15 Pro,Electronics,1,999,89,7.8,63.2,2
2023-02-08,MacBook Air,Electronics,1,1299,26,-1.9,39.8,2
2023-02-09,Hot Wheels 10pk,Toys,3,15,209,15.2,41.0,3
2023-02-09,Sony Headphones,Electronics,2,349,72,20.7,49.0,3
2023-02-09,Olive Oil 1L,Food,16,12,347,33.3,48.2,3
2023-02-10,iPad Pro,Electronics,1,899,65,34.9,62.8,4
2023-02-10,Clean Code,Books,5,35,113,8.9,68.7,4
2023-02-10,Adidas Hoodie,Clothing,6,80,191,34.7,46.8,4
2023-02-12,Protein Bars 12pk,Food,24,25,380,17.9,66.4,6
2023-02-13,Coffee Table,Furniture,1,220,38,28.7,56.1,0
2023-02-14,Deep Work,Books,3,20,111,28.7,77.7,1
2023-02-14,Barbie Dreamhouse,Toys,3,120,37,35.3,39.8,1
2023-02-15,LEGO Technic Set,Toys,2,89,61,25.6,31.2,2
2023-02-16,Green Tea 50pk,Food,23,8,584,9.8,33.5,3
2023-02-17,Adidas Hoodie,Clothing,6,80,200,37.3,63.6,4
2023-02-18,Olive Oil 1L,Food,21,12,370,-0.7,39.0,5
2023-02-19,Olive Oil 1L,Food,21,12,354,13.8,53.1,6
2023-02-20,Atomic Habits,Books,3,18,156,-1.5,54.4,0
2023-02-20,Levi's Jeans,Clothing,7,60,199,7.5,51.9,0
2023-02-21,Office Chair,Furniture,1,350,30,4.6,65.4,1
2023-02-22,Levi's Jeans,Clothing,5,60,211,6.5,37.2,2
2023-02-22,Zara Jacket,Clothing,7,110,102,11.2,63.3,2
2023-02-25,iPhone 15 Pro,Electronics,1,999,90,22.7,38.6,5
2023-02-25,Hot Wheels 10pk,Toys,4,15,215,27.3,84.5,5
2023-02-25,H&M T-Shirt,Clothing,7,25,316,17.5,47.6,5
2023-02-27,Adidas Hoodie,Clothing,5,80,185,30.3,74.3,0
2023-02-27,Adidas Hoodie,Clothing,4,80,199,20.9,31.1,0
2023-02-27,Nike Air Max,Clothing,6,120,155,6.1,39.9,0
2023-03-01,Adidas Hoodie,Clothing,6,80,179,-1.3,53.9,2
2023-03-02,Adidas Hoodie,Clothing,6,80,177,-2.1,31.7,3
2023-03-02,Nike Air Max,Clothing,8,120,146,11.3,84.2,3
2023-03-02,iPhone 15 Pro,Electronics,1,999,93,1.4,68.8,3
2023-03-03,H&M T-Shirt,Clothing,8,25,280,3.6,68.3,4
2023-03-04,IKEA Desk,Furniture,1,250,26,31.4,53.4,5
2023-03-05,The Lean Startup,Books,5,22,120,0.9,41.4,6
2023-03-05,Green Tea 50pk,Food,19,8,605,23.5,37.2,6
2023-03-09,Organic Coffee 1kg,Food,20,18,518,-0.9,67.3,3
2023-03-09,H&M T-Shirt,Clothing,7,25,316,25.5,52.2,3
2023-03-10,Olive Oil 1L,Food,22,12,353,23.4,66.5,4
2023-03-11,IKEA Desk,Furniture,1,250,37,14.0,46.7,5
2023-03-11,Python Crash Course,Books,5,30,87,13.4,60.3,5
2023-03-12,Python Crash Course,Books,5,30,100,17.9,36.9,6
2023-03-12,Bed Frame,Furniture,1,450,31,-2.1,77.4,6
2023-03-12,Nike Air Max,Clothing,8,120,159,0.9,36.1,6
2023-03-13,Zara Jacket,Clothing,6,110,117,28.2,77.0,0
2023-03-14,Office Chair,Furniture,1,350,29,33.2,30.7,1
2023-03-14,IKEA Desk,Furniture,1,250,44,33.2,57.5,1
2023-03-14,Barbie Dreamhouse,Toys,4,120,39,8.1,82.0,1
2023-03-16,The Lean Startup,Books,4,22,138,-2.4,54.2,3
2023-03-16,Levi's Jeans,Clothing,6,60,193,29.6,62.3,3
2023-03-16,iPhone 15 Pro,Electronics,1,999,85,20.3,30.8,3
2023-03-17,Olive Oil 1L,Food,18,12,347,16.7,72.0,4
2023-03-18,Atomic Habits,Books,5,18,131,22.4,50.0,5
2023-03-18,Deep Work,Books,5,20,128,26.1,79.8,5
2023-03-19,iPad Pro,Electronics,1,899,50,27.4,42.4,6
2023-03-19,Bookshelf,Furniture,1,180,37,35.1,56.2,6
2023-03-20,H&M T-Shirt,Clothing,8,25,314,2.0,43.2,0
2023-03-20,Deep Work,Books,5,20,142,-1.8,31.0,0
2023-03-21,Hot Wheels 10pk,Toys,3,15,205,8.5,53.6,1
2023-03-23,Nike Air Max,Clothing,6,120,148,9.8,47.2,3
2023-03-23,Green Tea 50pk,Food,20,8,619,21.9,58.4,3
2023-03-23,Bed Frame,Furniture,1,450,30,20.8,43.5,3
2023-03-25,IKEA Desk,Furniture,1,250,45,31.3,47.0,5
2023-03-27,H&M T-Shirt,Clothing,7,25,280,20.7,59.9,0
2023-03-28,Nerf Blaster,Toys,5,35,99,-2.7,38.7,1
2023-03-28,Office Chair,Furniture,1,350,33,22.8,32.2,1
2023-03-29,Adidas Hoodie,Clothing,10,80,198,0.1,72.0,2
2023-03-29,Sony Headphones,Electronics,2,349,62,28.1,66.2,2
2023-03-29,Atomic Habits,Books,5,18,167,9.8,59.8,2
2023-03-30,Zara Jacket,Clothing,5,110,133,28.5,49.4,3
2023-03-31,Coffee Table,Furniture,1,220,13,13.1,31.6,4
2023-03-31,Olive Oil 1L,Food,20,12,330,18.9,60.4,4
2023-03-31,Deep Work,Books,5,20,149,11.4,82.8,4
2023-04-01,Organic Coffee 1kg,Food,20,18,505,5.9,36.4,5
2023-04-02,Protein Bars 12pk,Food,24,25,380,18.8,62.8,6
2023-04-04,Adidas Hoodie,Clothing,6,80,196,36.4,76.0,1
2023-04-04,Atomic Habits,Books,5,18,151,4.1,65.2,1
2023-04-04,Sony Headphones,Electronics,2,349,45,25.4,64.9,1
2023-04-05,Olive Oil 1L,Food,28,12,368,-0.8,76.6,2
2023-04-05,Clean Code,Books,6,35,120,13.2,45.2,2
2023-04-06,Puzzle 1000pc,Toys,3,25,115,27.4,43.0,3
2023-04-06,Python Crash Course,Books,4,30,94,7.9,50.3,3
2023-04-07,Samsung 4K TV,Electronics,1,799,35,14.8,38.6,4
2023-04-08,Green Tea 50pk,Food,25,8,602,23.5,43.7,5
2023-04-09,Almond Milk 1L,Food,24,4,453,27.0,44.3,6
2023-04-11,Samsung 4K TV,Electronics,2,799,20,23.0,59.7,1
2023-04-11,Green Tea 50pk,Food,26,8,594,0.8,56.2,1
2023-04-12,Python Crash Course,Books,4,30,81,3.9,41.6,2
2023-04-12,Barbie Dreamhouse,Toys,3,120,34,25.7,48.4,2
2023-04-12,Samsung 4K TV,Electronics,1,799,51,19.6,76.0,2
2023-04-13,MacBook Air,Electronics,1,1299,18,18.1,57.8,3
2023-04-13,Office Chair,Furniture,1,350,14,34.1,30.8,3
2023-04-13,H&M T-Shirt,Clothing,7,25,319,21.6,79.5,3
2023-04-15,LEGO Technic Set,Toys,3,89,60,32.5,40.3,5
2023-04-16,Hot Wheels 10pk,Toys,4,15,183,-4.5,45.6,6
2023-04-16,Olive Oil 1L,Food,25,12,368,12.7,60.6,6
2023-04-17,Python Crash Course,Books,5,30,91,20.0,71.6,0
2023-04-17,Levi's Jeans,Clothing,6,60,189,17.8,43.1,0
2023-04-17,Green Tea 50pk,Food,16,8,619,34.2,56.5,0
2023-04-17,Levi's Jeans,Clothing,7,60,207,18.1,68.7,0
2023-04-17,Nike Air Max,Clothing,5,120,164,29.1,60.2,0
2023-04-18,H&M T-Shirt,Clothing,10,25,289,12.9,82.9,1
2023-04-19,Adidas Hoodie,Clothing,9,80,181,13.7,52.0,2
2023-04-20,Puzzle 1000pc,Toys,4,25,112,-0.9,38.2,3
2023-04-20,iPhone 15 Pro,Electronics,1,999,70,11.4,32.9,3
2023-04-20,iPad Pro,Electronics,1,899,47,16.0,47.4,3
2023-04-21,Coffee Table,Furniture,1,220,24,-3.9,47.2,4
2023-04-21,Green Tea 50pk,Food,18,8,603,0.8,44.5,4
2023-04-21,iPhone 15 Pro,Electronics,1,999,92,7.6,78.6,4
2023-04-24,H&M T-Shirt,Clothing,6,25,294,24.2,62.6,0
2023-04-26,Nike Air Max,Clothing,7,120,156,28.5,81.6,2
2023-04-27,Office Chair,Furniture,1,350,14,16.9,79.8,3
2023-04-28,Python Crash Course,Books,5,30,97,7.0,42.4,4
2023-04-29,Nerf Blaster,Toys,3,35,76,36.7,39.8,5
2023-04-29,Olive Oil 1L,Food,18,12,332,33.7,40.5,5
2023-05-01,Deep Work,Books,5,20,123,38.0,56.3,0
2023-05-01,Python Crash Course,Books,4,30,86,33.7,48.4,0
2023-05-01,H&M T-Shirt,Clothing,8,25,292,-0.1,35.8,0
2023-05-03,Olive Oil 1L,Food,24,12,346,-3.3,45.4,2
2023-05-03,Puzzle 1000pc,Toys,4,25,121,-1.6,82.6,2
2023-05-04,Hot Wheels 10pk,Toys,3,15,184,13.2,37.3,3
2023-05-04,Python Crash Course,Books,4,30,80,14.3,82.2,3
2023-05-05,iPhone 15 Pro,Electronics,2,999,75,36.8,63.5,4
2023-05-06,Samsung 4K TV,Electronics,2,799,56,35.5,32.8,5
2023-05-09,The Lean Startup,Books,4,22,113,13.9,30.5,1
2023-05-10,Deep Work,Books,5,20,133,13.1,36.3,2
2023-05-10,Zara Jacket,Clothing,8,110,120,21.8,62.2,2
2023-05-10,MacBook Air,Electronics,1,1299,12,5.1,65.5,2
2023-05-11,Coffee Table,Furniture,1,220,9,20.5,37.4,3
2023-05-12,Nerf Blaster,Toys,3,35,68,30.6,60.3,4
2023-05-12,Samsung 4K TV,Electronics,1,799,54,17.6,53.3,4
2023-05-13,Olive Oil 1L,Food,23,12,365,17.9,42.7,5
2023-05-13,Bed Frame,Furniture,1,450,20,33.0,33.6,5
2023-05-14,Bookshelf,Furniture,1,180,50,-2.4,82.6,6
2023-05-14,Levi's Jeans,Clothing,8,60,217,30.4,50.5,6
2023-05-14,Nike Air Max,Clothing,7,120,139,20.1,44.0,6
2023-05-16,The Lean Startup,Books,4,22,110,26.2,84.0,1
2023-05-17,Clean Code,Books,5,35,88,32.0,36.5,2
2023-05-17,Clean Code,Books,3,35,116,30.3,34.1,2
2023-05-18,Atomic Habits,Books,4,18,149,26.5,78.3,3
2023-05-18,Almond Milk 1L,Food,16,4,453,16.5,35.0,3
2023-05-18,Zara Jacket,Clothing,6,110,131,33.6,56.7,3
2023-05-18,Office Chair,Furniture,1,350,29,31.4,55.8,3
2023-05-19,Hot Wheels 10pk,Toys,3,15,200,14.9,32.8,4
2023-05-19,Hot Wheels 10pk,Toys,3,15,200,-1.8,39.5,4
2023-05-19,Python Crash Course,Books,5,30,87,28.8,80.5,4
2023-05-19,Green Tea 50pk,Food,25,8,589,37.8,83.7,4
2023-05-20,H&M T-Shirt,Clothing,11,25,305,8.8,82.1,5
2023-05-21,Python Crash Course,Books,7,30,81,6.0,48.0,6
2023-05-21,Samsung 4K TV,Electronics,2,799,50,7.3,75.6,6
2023-05-21,Olive Oil 1L,Food,27,12,338,28.3,71.4,6
2023-05-22,iPad Pro,Electronics,1,899,51,4.9,68.2,0
2023-05-23,Adidas Hoodie,Clothing,7,80,197,27.0,59.6,1
2023-05-23,Almond Milk 1L,Food,19,4,441,2.1,34.2,1
2023-05-24,IKEA Desk,Furniture,1,250,37,8.9,43.6,2
2023-05-24,Adidas Hoodie,Clothing,6,80,198,6.9,34.6,2
2023-05-24,Sony Headphones,Electronics,3,349,54,-4.5,75.7,2
2023-05-27,Hot Wheels 10pk,Toys,4,15,182,21.1,73.0,5
2023-05-28,Organic Coffee 1kg,Food,23,18,502,32.0,47.6,6
2023-05-29,Olive Oil 1L,Food,22,12,338,3.2,63.0,0
2023-05-29,IKEA Desk,Furniture,1,250,25,34.8,53.9,0
2023-05-30,H&M T-Shirt,Clothing,12,25,296,-3.2,82.5,1
2023-06-03,Organic Coffee 1kg,Food,34,18,502,-1.5,66.5,5
2023-06-03,Organic Coffee 1kg,Food,29,18,505,16.6,42.1,5
2023-06-06,Python Crash Course,Books,5,30,99,27.6,34.1,1
2023-06-07,Deep Work,Books,5,20,115,11.8,49.8,2
2023-06-07,Samsung 4K TV,Electronics,2,799,38,10.5,53.5,2
2023-06-08,Levi's Jeans,Clothing,9,60,217,7.8,83.3,3
2023-06-08,Nerf Blaster,Toys,3,35,77,12.8,35.4,3
2023-06-08,Protein Bars 12pk,Food,15,25,401,28.1,43.7,3
2023-06-11,Almond Milk 1L,Food,29,4,441,-4.9,69.7,6
2023-06-11,Samsung 4K TV,Electronics,1,799,31,36.3,34.4,6
2023-06-11,Protein Bars 12pk,Food,25,25,394,20.9,74.9,6
2023-06-13,The Lean Startup,Books,5,22,106,13.2,45.3,1
2023-06-13,Green Tea 50pk,Food,17,8,601,18.4,52.2,1
2023-06-14,Zara Jacket,Clothing,8,110,114,14.3,58.2,2
2023-06-14,Nike Air Max,Clothing,9,120,166,4.5,75.9,2
2023-06-14,Olive Oil 1L,Food,18,12,335,36.5,30.3,2
2023-06-15,Clean Code,Books,4,35,82,30.8,31.2,3
2023-06-18,Almond Milk 1L,Food,24,4,464,15.0,52.4,6
2023-06-18,IKEA Desk,Furniture,1,250,59,1.0,69.4,6
2023-06-19,Barbie Dreamhouse,Toys,3,120,50,15.1,37.0,0
2023-06-19,Bed Frame,Furniture,1,450,17,1.0,41.4,0
2023-06-20,Clean Code,Books,4,35,101,21.3,61.0,1
2023-06-20,Protein Bars 12pk,Food,24,25,397,0.5,73.0,1
2023-06-21,Bed Frame,Furniture,1,450,14,21.1,71.1,2
2023-06-21,MacBook Air,Electronics,1,1299,28,30.4,46.4,2
2023-06-21,Clean Code,Books,4,35,84,29.7,48.6,2
2023-06-22,Coffee Table,Furniture,1,220,39,27.9,56.9,3
2023-06-24,Nerf Blaster,Toys,4,35,65,11.1,70.3,5
2023-06-24,Adidas Hoodie,Clothing,10,80,171,30.7,63.0,5
2023-06-26,Zara Jacket,Clothing,8,110,125,12.3,64.0,0
2023-06-29,Levi's Jeans,Clothing,10,60,203,0.7,59.7,3
2023-06-29,Green Tea 50pk,Food,29,8,605,32.9,39.7,3
2023-06-30,Adidas Hoodie,Clothing,10,80,182,20.5,74.3,4
2023-07-01,The Lean Startup,Books,7,22,138,19.9,70.2,5
2023-07-01,Coffee Table,Furniture,1,220,40,20.7,64.7,5
2023-07-03,H&M T-Shirt,Clothing,9,25,315,-4.4,59.4,0
2023-07-03,Puzzle 1000pc,Toys,4,25,116,36.3,31.9,0
2023-07-05,Barbie Dreamhouse,Toys,4,120,35,24.8,64.4,2
2023-07-06,Bed Frame,Furniture,1,450,34,8.7,74.5,3
2023-07-07,Zara Jacket,Clothing,11,110,135,14.9,78.1,4
2023-07-07,Atomic Habits,Books,5,18,149,33.7,66.0,4
2023-07-07,Sony Headphones,Electronics,3,349,57,12.2,82.9,4
2023-07-08,Organic Coffee 1kg,Food,26,18,481,31.1,38.0,5
2023-07-10,iPhone 15 Pro,Electronics,2,999,96,26.7,73.5,0
2023-07-11,Organic Coffee 1kg,Food,21,18,502,31.2,64.1,1
2023-07-12,iPad Pro,Electronics,2,899,28,17.2,43.2,2
2023-07-14,Green Tea 50pk,Food,24,8,614,25.0,69.7,4
2023-07-14,Coffee Table,Furniture,1,220,29,3.0,49.1,4
2023-07-16,Levi's Jeans,Clothing,8,60,218,26.8,45.2,6
2023-07-16,Nerf Blaster,Toys,5,35,75,31.2,74.9,6
2023-07-18,Protein Bars 12pk,Food,17,25,404,24.2,61.4,1
2023-07-20,Levi's Jeans,Clothing,9,60,193,0.2,76.9,3
2023-07-20,iPad Pro,Electronics,1,899,55,29.4,70.6,3
2023-07-20,Bookshelf,Furniture,1,180,30,21.5,70.5,3
2023-07-21,Almond Milk 1L,Food,18,4,450,-0.1,66.9,4
2023-07-22,Nerf Blaster,Toys,6,35,81,22.8,74.5,5
2023-07-23,Coffee Table,Furniture,1,220,11,19.8,65.7,6
2023-07-23,Almond Milk 1L,Food,24,4,454,26.6,35.2,6
2023-07-24,Coffee Table,Furniture,1,220,35,37.9,39.9,0
2023-07-24,Clean Code,Books,4,35,81,33.0,58.9,0
2023-07-24,Atomic Habits,Books,6,18,133,11.1,71.7,0
2023-07-25,H&M T-Shirt,Clothing,7,25,317,19.2,46.7,1
2023-07-26,Samsung 4K TV,Electronics,1,799,40,29.0,78.7,2
2023-07-26,LEGO Technic Set,Toys,5,89,60,0.6,69.4,2
2023-07-28,Protein Bars 12pk,Food,25,25,381,8.5,32.5,4
2023-07-28,Python Crash Course,Books,4,30,105,18.3,49.7,4
2023-07-29,MacBook Air,Electronics,1,1299,38,2.6,82.5,5
2023-07-30,Office Chair,Furniture,1,350,20,21.1,40.4,6
2023-07-31,MacBook Air,Electronics,1,1299,48,-0.7,31.8,0
2023-07-31,Adidas Hoodie,Clothing,8,80,166,3.7,43.7,0
2023-08-01,Coffee Table,Furniture,1,220,38,4.3,77.8,1
2023-08-04,Nike Air Max,Clothing,7,120,160,12.1,35.3,4
2023-08-05,LEGO Technic Set,Toys,5,89,52,3.3,32.3,5
2023-08-05,Green Tea 50pk,Food,26,8,589,33.9,76.8,5
2023-08-06,iPad Pro,Electronics,2,899,48,23.2,42.3,6
2023-08-08,Puzzle 1000pc,Toys,4,25,99,3.0,45.4,1
2023-08-08,Office Chair,Furniture,1,350,8,12.2,48.6,1
2023-08-09,Barbie Dreamhouse,Toys,4,120,43,1.4,81.7,2
2023-08-09,Barbie Dreamhouse,Toys,3,120,50,31.8,38.2,2
2023-08-10,Almond Milk 1L,Food,15,4,460,21.1,55.9,3
2023-08-11,Python Crash Course,Books,5,30,102,32.1,33.1,4
2023-08-11,Levi's Jeans,Clothing,6,60,202,4.0,69.3,4
2023-08-12,Nerf Blaster,Toys,4,35,72,19.7,40.1,5
2023-08-13,iPhone 15 Pro,Electronics,2,999,63,33.5,72.8,6
2023-08-13,Coffee Table,Furniture,1,220,11,31.4,73.9,6
2023-08-14,Almond Milk 1L,Food,18,4,430,20.3,74.5,0
2023-08-15,Organic Coffee 1kg,Food,22,18,520,28.5,34.2,1
2023-08-15,Green Tea 50pk,Food,27,8,591,7.9,33.4,1
2023-08-15,Clean Code,Books,6,35,95,19.3,81.5,1
2023-08-17,Barbie Dreamhouse,Toys,4,120,44,-4.9,31.3,3
2023-08-17,LEGO Technic Set,Toys,2,89,58,17.2,32.5,3
2023-08-18,Clean Code,Books,5,35,82,-2.0,82.7,4
2023-08-18,Organic Coffee 1kg,Food,22,18,516,5.7,80.4,4
2023-08-18,Deep Work,Books,5,20,142,22.8,51.4,4
2023-08-19,Bookshelf,Furniture,1,180,51,7.4,72.9,5
2023-08-20,Clean Code,Books,6,35,101,5.0,35.5,6
2023-08-20,The Lean Startup,Books,6,22,119,32.7,47.2,6
2023-08-20,Bed Frame,Furniture,1,450,20,36.4,55.0,6
2023-08-21,Deep Work,Books,6,20,116,-1.1,83.8,0
2023-08-21,Bookshelf,Furniture,1,180,45,-2.4,51.3,0
2023-08-21,LEGO Technic Set,Toys,5,89,66,-1.1,46.9,0
2023-08-21,Deep Work,Books,6,20,134,23.1,63.1,0
2023-08-22,Deep Work,Books,4,20,143,-2.8,56.4,1
2023-08-23,Olive Oil 1L,Food,28,12,349,-1.2,74.3,2
2023-08-23,LEGO Technic Set,Toys,3,89,76,15.7,72.3,2
2023-08-24,Almond Milk 1L,Food,27,4,436,28.7,82.2,3
2023-08-26,LEGO Technic Set,Toys,4,89,41,12.4,40.1,5
2023-08-26,Adidas Hoodie,Clothing,8,80,190,24.6,49.8,5
2023-08-27,Office Chair,Furniture,1,350,31,20.9,60.9,6
2023-08-27,Hot Wheels 10pk,Toys,6,15,220,-0.7,45.3,6
2023-08-27,Zara Jacket,Clothing,11,110,125,29.9,35.1,6
2023-08-28,MacBook Air,Electronics,1,1299,16,35.6,37.5,0
2023-08-29,Zara Jacket,Clothing,10,110,105,9.4,79.1,1
2023-08-29,MacBook Air,Electronics,1,1299,38,14.7,74.1,1
2023-08-30,Sony Headphones,Electronics,3,349,78,1.3,40.8,2
2023-08-31,LEGO Technic Set,Toys,3,89,75,16.2,49.8,3
2023-08-31,H&M T-Shirt,Clothing,10,25,313,32.7,84.2,3
2023-09-01,Coffee Table,Furniture,1,220,3,8.9,39.6,4
2023-09-01,H&M T-Shirt,Clothing,7,25,320,0.2,43.1,4
2023-09-02,Zara Jacket,Clothing,11,110,119,12.0,66.9,5
2023-09-04,Coffee Table,Furniture,1,220,35,18.5,50.6,0
2023-09-05,Protein Bars 12pk,Food,23,25,415,16.0,54.5,1
2023-09-06,Coffee Table,Furniture,1,220,17,17.4,67.7,2
